bucket	id	title	en_ratio	en_words	garble	annotation	excerpt
clean	wiki:ig:59031	Asụsụ Penan	0.0	0	0	mt	NibongPenanA mụrụ ya Malaysia, BruneiÓgbèSarawak, BorneoAgbụrụNdị PenanNdị na-asụ asụsụ alaca. 13,000 (2007–2011)Eastern Penan at Ethnologue (18th ed., 2015) (subscription required)Western Penan at Ethnologue (18th ed., 2015) (subscription required) Ezinụlọ asụsụAustronesian  Malay-Polynesia  Ebe Ug
clean	wiki:ig:21386	Hdi language	0.0	0	0	mt	Hdi (Hedi, Xədi, Tur) bụ asụsụ Afro-Asiatic nke Cameroon na Nigeria.  Na Cameroon, a na-asụ Hdi naanị n'otu obodo n'ókè Naịjirịa akpọroTourou (arrondissement of Mokolo, ngalaba Mayo-Tsanaga, Far North Region) site na otu puku ndị na-ekwu okwu. A na-asụkarị ya na Naijiria. Asụsụ Hdi na Mabas nwere nj
clean	wiki:ig:50148	Simarani Nayak	0.0	0	0	mt	Simarani Nayak Simarani Nayak (amụrụ 1964) bụ onye ndọrọ ndọrọ ọchịchị India si Odisha . Ọ bụ onye omeiwu ugboro atọ si Hindol Assembly Constituency na Dhenkanal District . Ọ na-anọchi anya Bharatiya Janata Party . Ọ meriri ntuli aka ndị omebe iwu Odisha 2024 .     Ndụ mmalite na agụmakwụkwọ  Nayak 
clean	wiki:ig:60049	Billy Johnson (onye Mormon)	0.00118	1	0	human	Joseph William Billy Johnson (17 Disemba 1934 - 27 Machị 2012) bụ otu n'ime ndị mbụ a nkwado na Church of Jesus Christ of Latter-day Saints (LDS Church) na Ghana, ọ bụkwa otu n'etiti ndị isi mbụ na mba ahụ.  Tupu e mee ya baputizim, ọ bụ ọrụ ọtụtụ awụ iji hụ nke egwuregwu LDS nye ọtụtụ ndị obodo ya.
clean	wiki:ig:48990	Françoise Ellong	0.0	0	0	human	Françoise Ellong (amuru 8 February 1988) bu onye isi ihe nkiri na onye ode akwukwo Cameroon.   Akụkọ ndụ  A mụrụ Ellong na Douala, Cameroon na 1988. Mgbe ọ dị afọ 11, ọ kwagara Brunoy ka ya na nwanne nna ya biri, o dekwara akụkọ mbụ ya. Ellong sonyere na asọmpi maka ndị odee na-eto eto na-asụ French
clean	wiki:ig:53622	Ljiljana Raičević	0.0	0	0	mt	Ljiljana Raičević (Serbian Cyrillic: Љиљана Раичевић; amụrụ 29 June 1947, née Petrović) bụ onye na-akwado ikike mmadụ na ikike ụmụ nwanyị na Serbia na Montenegro.  Ọ bụ onye 2006 nwetara nzere nke Amnesty International Ginetta Sagan Fund Award.  Raicevic kere Montenegro's SOS LINE, NGO mbụ na mba ah
clean	wiki:ig:77240	Olatunji Oyeyemi Moronfoye	0.0	0	0	mt	Olatunji Oyeyemi Moronfoye () bụ onye ndọrọ ndọrọ ọchịchị Naijiria nke jere ozi dị ka Kọmishọna maka Ozi na Kwara Steeti n'oge ọchịchị onye bụbu Gọvanọ Abdulfatah Ahmed .    Arụmụka  EFCC gbara Moronfoye akwụkwọ n'afọ 2015 maka ebubo nke iji ọrụ eme ihe n'ụzọ na-ezighị ezi, nkwekọrịta nkwekọrịta, ịd
clean	wiki:ig:27201	Ndị na-ere ahịa BoE	0.0	0	0	mt	BoE Stockbrokers bụ onye na-enye ọrụ ego ikike, na onye otu Nedbank Group. Dị ka ụlọ ọrụ na-ere ahịa ngwaahịa South Africa, BoE Stockbrokers (Pty) Ltd na-enye ọrụ sitere na ndụmọdụ itinye ego na njikwa itinye ego na akụrụngwa e-azụmahịa buru ibu, na-elekwasị anya na ndị nwere ọnụ ahịa dị elu na ndị 
clean	wiki:ig:23843	Dele	0.0	0	0	mt	link=//upload.wikimedia.org/wikipedia/commons/4/43/Deleatur_%28black%29.png|alt=A dele.|áká_ịkẹngạ|102x102px|Nke ya. Dele ma ọ bụ deleatur (/ˈdiːliː/, /ˌdiːliˈeɪtər/) bụ obelism (ihe nnọchianya na-agụ) nke a na-eji akara maka ihichapụ.  A ṅa-ejikarị glyph maka Pfennig eme ihe iji nọchite anya dele n
clean	wiki:ig:50052	Eugen Johannessen	0.0	0	0	unclear	Eugen JohannessenEugen Monrad Johannessen (1892 - 1975) bụ onye ndọrọ ndọrọ ọchịchị Norwegian maka Labour Party . Ọ jere ozi na kansụl obodo Oslo, mana amaara ya nke ọma maka ọrụ ya na nzukọ pati ahụ. A makwaara ya dị ka onye na-azụ ahịa, yana onye na-emegide ya n'oge Agha Ụwa nke Abụọ.   Ọrụ  A mụr
clean	wiki:ig:48291	Eunice Bélidor	0.0	0	0	mt	Eunice Bélidor (amụrụ 1987) bụ onye Canada na-ahụ maka nka nke oge a, onye edemede na onye nyocha.    Ndụ mmalite na agụmakwụkwọ  Amụrụ na Montreal nye ndị nne na nna kwagara Haiti, Bélidor dechara nzere BA na akụkọ ihe mere eme nka na Mahadum Concordia .  O mechara nweta MA na Art History & Visual 
clean	wiki:ig:39926	Nchebe nri na Chad	0.00077	1	0	mt	300x300px| Onye ọrụ ugbo na Chad. Ihe karịrị 80% nke ndị bi na ya na-arụ ọrụ ugbo na akụ na ụba Chad na-abụkarị ndị ọrụ ugbo.  Chad na-enwe ụkọ nri zuru ebe niile ugbu a.  Ihe ka ọtụtụ ná ndị bi na Chad na-enwezi ụdị erighị ihe na-edozí .  [1] 87% nke ndị bi na ya bi n'okpuru ahịrị ego.  [2] N'ihi n
clean	wiki:ig:35173	Yūshin Maru	0.0	0	0	mt	Yūshin Maru (勇新丸, Yūshin Maru), bụ onye na-ahụ ma ka whale edebanyere aha Japan nke na-arụ ọrụ whaling na North Pacific Ocean na Southern Ocean. Ya na ụgbọ mmiri ndị ọzọ nke ụgbọ mmiri ndị Japan, egosipụtara ya na telivishọn America kemgbe n'afọ 2008, n'ụdị akwụkwọ akụkọ eziokwu Whale Wars.    Ihe n
clean	wiki:ig:11125	Render to Ceasar	0.0	0	0	human	Render to Caesar bụ ihe nkiri mkpali obi Naijiria nke 2014  Desmond Ovbiagele dere ma mepụta ya,nduzi site Desmond Ovbiagele na Onyekachi Ejim. Ọ gosiputara Wale Ojo, Gbenga Akinnagbe, Omoni Oboli na Bimbo Manuel ya na ngosiputa pụrụ iche site na Kehinde Bankole na Femi Jacobs .   Emebere ihe nkiri 
clean	wiki:ig:60067	Mampi	0.0	0	0	unclear	Mampi Mirriam Mukape (amuru Ọgọst 4, 1986), nke a ma ama dị ka Mampi, bụ onye Zambia na-abụ abụ, onye na-eme ihe nkiri na onye na-ede abụ. Egwu ya bụ kwaito na reggae sitere n'ike mmụọ nsọ. Ọ bụ otu n'ime ndị omenkà ụmụ nwanyị Zambia a na-elele na YouTube.   Oge ọ malitere  A mụrụ Mampi na Lusaka na
clean	wiki:ig:65354	Andrey Coutinho	0.0	0	0	mt	Andrey Marcel Ferreira Coutinho (amụrụ n'ụbọchị iri na abụọ Jenụwarị , 1990) bụ onye Brazil na-agba bọọlụ.   Nsọpụrụ    Ndị Ntorobịa Africa   Njikọ Premier nke Tanzania: 2014-152014–15   Edemsibia    Njikọ mpụga    Ebe nrụọrụ weebụ gọọmentị Thaileague: Samut Sakhon City F.C. Ndị egwuregwu Otú:Mmadụ 
